Timestamp	id #	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp(1)	cluster #(1)	timestamp(2)	cluster #(2)	timestamp(3)	cluster #(3)	timestamp(4)	cluster #(4)
																																	0:00:04.577	0	0:00:05.008	0	0:00:05.738	0	0:00:06.267	0
																																	0:00:04.640	0	0:00:05.028	0	0:00:05.818	0	0:00:06.316	0
																																	0:00:04.663	0	0:00:05.045	0	0:00:05.823	0	0:00:06.316	0
																																	0:00:04.680	0	0:00:05.076	0	0:00:06.012	0	0:00:06.397	0
																																	0:00:04.734	0	0:00:05.113	0	0:00:06.047	0	0:00:06.405	0
																																	0:00:04.767	0	0:00:05.118	0	0:00:06.058	0	0:00:06.453	0
																																	0:00:04.794	0	0:00:05.222	0	0:00:06.140	0	0:00:06.464	0
																																	0:00:04.796	0	0:00:05.231	0	0:00:06.193	0	0:00:06.548	0
																																	0:00:04.981	0	0:00:05.319	0	0:00:06.364	0	0:00:06.646	0
																																	0:00:05.007	0	0:00:05.319	0	0:00:06.533	0	0:00:06.745	0
																																	0:00:05.008	0	0:00:05.379	0	0:00:06.539	0	0:00:06.847	0
																																	0:00:05.008	0	0:00:05.419	0	0:00:06.546	0	0:00:06.881	0
																																	0:00:05.031	0	0:00:05.506	0	0:00:06.555	0	0:00:06.920	0
																																	0:00:05.098	0	0:00:05.541	0	0:00:06.620	0	0:00:07.367	0
																																	0:00:05.174	0	0:00:05.578	0	0:00:06.650	0	0:00:07.371	0
																																	0:00:05.234	0	0:00:05.591	0	0:00:06.670	0	0:00:07.393	0
																																	0:00:05.234	0	0:00:05.618	0	0:00:06.732	0	0:00:07.439	0
																																	0:00:05.303	0	0:00:05.675	0	0:00:06.762	0	0:00:07.468	0
																																	0:00:05.358	0	0:00:05.701	0	0:00:06.846	0	0:00:07.569	0
																																	0:00:05.436	0	0:00:05.773	0	0:00:06.912	0	0:00:07.578	0
																																	0:00:05.507	0	0:00:05.795	0	0:00:07.093	0	0:00:07.723	0
																																	0:00:05.832	0	0:00:05.842	0	0:00:07.239	0	0:00:07.813	0
																																	0:00:06.006	0	0:00:05.854	0	0:00:07.239	0	0:00:07.909	0
																																	0:00:06.008	0	0:00:05.874	0	0:00:07.364	0	0:00:07.922	0
																																	0:00:06.092	0	0:00:05.927	0	0:00:07.408	0	0:00:07.957	0
																																	0:00:06.251	0	0:00:06.099	0	0:00:07.442	0	0:00:07.992	0
																																	0:00:06.274	0	0:00:06.112	0	0:00:07.731	0	0:00:08.003	0
																																	0:00:06.483	0	0:00:06.120	0	0:00:07.781	0	0:00:08.125	0
																																	0:00:06.581	0	0:00:06.159	0	0:00:07.795	0	0:00:08.139	0
																																	0:00:06.611	0	0:00:06.245	0	0:00:07.803	0	0:00:08.155	0
																																	0:00:06.657	0	0:00:06.247	0	0:00:07.875	0	0:00:08.199	0
																																	0:00:06.670	0	0:00:06.250	0	0:00:07.894	0	0:00:08.332	0
																																	0:00:06.763	0	0:00:06.291	0	0:00:07.916	0	0:00:08.349	0
																																	0:00:06.832	0	0:00:06.378	0	0:00:08.000	0	0:00:08.518	0
																																	0:00:06.860	0	0:00:06.424	0	0:00:08.085	0	0:00:08.607	0
																																	0:00:06.911	0	0:00:06.456	0	0:00:08.101	0	0:00:08.851	0
																																	0:00:06.954	0	0:00:06.456	0	0:00:08.322	0	0:00:08.918	0
																																	0:00:07.008	0	0:00:06.474	0	0:00:08.414	0	0:00:08.993	0
																																	0:00:07.111	0	0:00:06.482	0	0:00:08.427	0	0:00:09.090	0
																																	0:00:07.197	0	0:00:06.486	0	0:00:08.540	0	0:00:09.236	0
																																	0:00:07.315	0	0:00:06.486	0	0:00:08.560	0	0:00:09.256	0
																																	0:00:07.459	0	0:00:06.486	0	0:00:08.608	0	0:00:09.257	0
																																	0:00:07.476	0	0:00:06.521	0	0:00:08.755	0	0:00:09.280	0
																																	0:00:07.534	0	0:00:06.534	0	0:00:08.788	0	0:00:09.411	0
