Timestamp	id	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp1	cluster1
51878826	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	51878826	51878826	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	3323389.764	1
52879154	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	52879154	52879154	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	3439489.764	1
53878710	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	53878710	53878710	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	3534659.054	1
54878794	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	54878794	54878794	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	3669459.054	1
55878907	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	55878907	55878907	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	4400166.922	1
56878322	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	56878322	56878322	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	4424241.922	1
57878204	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	57878204	57878204	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	4464311.212	1
58879075	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	58879075	58879075	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	4712130.502	1
59878651	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	59878651	59878651	0	1	C:\DataWave\Sounds\bat_restrained\search2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	4941230.502	1
60895567	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	60895567	60895567	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	5172024.791	1
